parameter sync wildtype,per wildtype,amp wildtype,per wildtype/wt,amp wildtype/wt,sync her7 mutant,per her7 mutant,amp her7 mutant,per her7 mutant/wt,amp her7 mutant/wt,sync her13 mutant,per her13 mutant,amp her13 mutant,per her13 mutant/wt,amp her13 mutant/wt,sync delta mutant,per delta mutant,amp delta mutant,per delta mutant/wt,amp delta mutant/wt,sync her7,per her7,amp her7,per her7,amp her7,sync her1 mutant,per her1 mutant,amp her1 mutant,per her1 mutant/wt,amp her1 mutant/wt,sync delta,per delta,amp delta,per delta,amp delta,sync her7,per her7,amp her7,per her7,amp her7,sync her1,per her1,amp her1,per her1,amp her1,sync her7,per her7,amp her7,per her7,amp her7,sync her1,per her1,amp her1,per her1,amp her1,
33,0.0676917,2.27448,2.28933,2.27273,2.27273,2.27277,-1.0065,1.70445e-06,1.11871e-305,1.70227e-06,2.2727,2.27368,2.27481,2.27189,2.25805,2.22231,2.27437,2.34668,2.27263,2.33013,2.27271,2.27405,2.27482,2.27226,2.25805,2.27274,2.27441,2.2861,2.27264,2.2695,2.27276,-inf,7.14285,inf,7.14698,2.2899,2.27543,1.23464,2.27362,1.22905,2.23032,2.27436,2.32515,2.27261,2.3086,2.27273,0,2.27273,0,2.25572,2.27273,9.7881e-305,0.154656,9.78479e-305,4.54542,
34,4.68777,2.27448,2.27933,2.27273,2.27273,2.27293,0,18.1818,0,18.2382,2.27332,2.21879,2.26925,2.21704,2.26239,2.20707,2.27473,2.30214,2.27299,2.29593,2.27328,2.21984,2.2704,2.2181,2.26355,2.27281,2.27403,2.281,2.27228,2.27437,2.27262,-1.00183,1.66913e-06,3.66383e-306,1.67741e-06,2.29822,2.19405,0.938679,2.19231,0.938531,2.21037,2.274,2.29739,2.27225,2.29105,2.27272,0,2.27273,0,2.26561,2.27258,8.63718e-305,0.573962,8.63425e-305,5.00327e-06,
35,0.0676986,2.22564,2.25468,2.27273,2.27273,2.27272,-1,1.67129e-06,1.13587e-305,1.69482e-06,2.27272,2.27587,2.27668,2.32398,2.29462,2.75837,2.19114,1.59456,2.23751,1.60765,2.27271,2.27405,2.27482,2.32213,2.29274,2.27301,2.22647,2.25428,2.27357,2.27231,2.27303,-0.969877,1.2943e-06,3.62484e-306,1.31496e-06,2.26075,2.27366,1.99067,2.32173,2.01212,2.74818,2.1914,1.72832,2.23776,1.74239,2.27272,0,2.27273,0,2.29039,2.27273,9.78198e-305,0.128223,9.99329e-305,4.54542,
36,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0,-nan,0,-nan,-nan,-nan,-nan,-nan,-nan,
37,0.0676834,2.25718,2.20375,2.27273,2.27273,2.27273,-0.991662,3.61622e-06,1.11066e-305,3.75185e-06,2.27247,2.26087,2.25453,2.27641,2.32481,2.25207,2.27401,2.3032,2.28968,2.37576,2.2725,2.26086,2.25495,2.27642,2.32525,2.27241,2.25792,2.20891,2.27348,2.27803,2.27273,-1,7.66635e-06,3.68519e-306,7.96867e-06,2.26075,2.27366,1.99067,2.2893,2.05861,2.25263,2.274,2.29739,2.28968,2.36963,2.27274,0,2.27273,0,2.34332,2.27271,9.66905e-305,0.126066,9.7399e-305,4.54542,
38,4.68777,2.27371,2.28149,2.27273,2.27273,2.27274,-0.988994,1.04832e-06,1.09962e-305,1.05058e-06,2.2727,2.27221,2.27469,2.2712,2.26568,2.24987,2.27401,2.30309,2.27303,2.29471,2.27271,2.27185,2.27474,2.27083,2.26573,2.27275,2.27403,2.281,2.27303,2.27222,2.27273,-1.5019,2.23156e-06,5.49453e-306,2.24051e-06,2.2615,2.27049,1.92884,2.26948,1.9267,2.25263,2.274,2.29739,2.27302,2.28888,2.27273,0,2.27273,0,2.26347,2.27273,9.79588e-305,0.129686,9.79591e-305,1.12941e-06,
39,0.067692,2.27141,2.28004,2.27273,2.27273,2.27272,-1,1.67129e-06,1.11299e-305,1.67597e-06,2.27269,2.27441,2.27491,2.2757,2.26733,2.27823,2.26928,2.26849,2.27061,2.26166,2.27271,2.27405,2.27482,2.27533,2.26725,2.27275,2.27134,2.27947,2.27267,2.27215,2.27264,-0.998935,2.16164e-06,3.65821e-306,2.17171e-06,2.26075,2.27366,1.99067,2.27496,1.98974,2.28348,2.26965,2.26943,2.27099,2.26246,2.27273,0,2.27273,0,2.26491,2.27274,8.68446e-305,0.582864,8.69328e-305,4.54542,
40,4.68777,2.27371,2.28159,2.27273,2.27273,2.27268,0,18.1818,0,18.2202,2.2727,2.27368,2.27481,2.27265,2.26569,2.25415,2.27364,2.3032,2.27267,2.29471,2.27271,2.27405,2.27482,2.27304,2.26569,2.27276,2.27403,2.281,2.27303,2.27211,2.27271,0,14.2857,0,14.3424,2.26056,2.27366,1.99036,2.27265,1.98807,2.24807,2.27363,2.29739,2.27266,2.28878,2.27273,0,2.27273,0,2.26337,2.27274,9.79866e-305,0.129979,9.79867e-305,1.13192e-06,
41,0.0676805,2.25295,2.18338,2.27273,2.27273,2.2727,-0.990162,1.1389e-06,1.11107e-305,1.19264e-06,2.2728,2.25794,2.24906,2.27773,2.3408,2.25207,2.27401,2.3032,2.29397,2.39792,2.27282,2.25757,2.24959,2.27737,2.34136,2.27225,2.25332,2.19006,2.2731,2.27965,2.27251,-1.0003,9.07825e-07,3.69325e-306,9.52423e-07,2.26075,2.27366,1.99067,2.29359,2.07781,2.25263,2.274,2.29739,2.29398,2.39173,2.27272,0,2.27273,0,2.36518,2.27273,9.63345e-305,0.126555,9.72227e-305,4.54542,
42,4.68777,2.27371,2.28242,2.27273,2.27273,2.27269,-0.999333,3.00651e-06,1.11111e-305,3.01176e-06,2.27255,2.2777,2.27751,2.27667,2.26755,2.24747,2.27401,2.30463,2.27303,2.2953,2.27257,2.27771,2.2767,2.2767,2.26675,2.27275,2.27403,2.281,2.27303,2.2713,2.27274,-0.998783,3.35344e-06,3.65393e-306,3.36554e-06,2.26161,2.27225,4.8302,2.27123,4.82289,2.25263,2.274,2.29739,2.27302,2.28794,2.27272,0,2.27273,0,2.26254,2.27275,100,58.9078,100,0.000512808,
